04-28-2025, 20-14-46
,Vanodf,Ianodf,Vanods,Ianods,Vcathf,Icathf,Vcaths,Icaths
0,-5.0,-4.2091e-09,-4.9994,0.0,0.0,4.2179e-09,-8e-05,0.0
1,-4.9,-4.2132e-09,-4.8994,0.0,0.0,4.213e-09,-2e-05,0.0
2,-4.8,-4.2104e-09,-4.8006,0.0,0.0,4.212e-09,-8e-05,0.0
3,-4.7,-4.2057e-09,-4.6992,0.0,0.0,4.2062e-09,-0.0001,0.0
4,-4.6,-4.2068e-09,-4.5988,0.0,0.0,4.2004e-09,-4e-05,0.0
5,-4.5,-4.1989e-09,-4.4996,0.0,0.0,4.1986e-09,-2e-05,0.0
6,-4.4,-4.1987e-09,-4.3988,0.0,0.0,4.1964e-09,-8e-05,0.0
7,-4.3,-4.195e-09,-4.2994,0.0,0.0,4.1969e-09,-4e-05,0.0
8,-4.2,-4.1925e-09,-4.1992,0.0,0.0,4.1934e-09,-2e-05,0.0
9,-4.1,-4.1924e-09,-4.0994,0.0,0.0,4.1942e-09,-2e-05,0.0
10,-4.0,-4.1945e-09,-3.9994,0.0,0.0,4.1939e-09,-4e-05,0.0
11,-3.9,-4.1897e-09,-3.8988,0.0,0.0,4.1906e-09,-2e-05,0.0
12,-3.8,-4.1951e-09,-3.7996,0.0,0.0,4.1862e-09,-2e-05,0.0
13,-3.7,-4.185e-09,-3.699,0.0,0.0,4.191e-09,-2e-05,0.0
14,-3.6,-4.1917e-09,-3.5992,0.0,0.0,4.1846e-09,-2e-05,0.0
15,-3.5,-4.1796e-09,-3.4992,0.0,0.0,4.1858e-09,-6e-05,0.0
16,-3.4,-4.1845e-09,-3.3992,0.0,0.0,4.1819e-09,-4e-05,0.0
17,-3.3,-4.1752e-09,-3.299,0.0,0.0,4.184e-09,-2e-05,0.0
18,-3.2,-4.1853e-09,-3.1988,0.0,0.0,4.1801e-09,-2e-05,0.0
19,-3.1,-4.1711e-09,-3.099,0.0,0.0,4.1815e-09,-2e-05,0.0
20,-3.0,-4.1812e-09,-2.9988,0.0,0.0,4.1704e-09,-2e-05,0.0
21,-2.9,-4.1713e-09,-2.8994,0.0,0.0,4.1777e-09,-2e-05,0.0
22,-2.8,-4.1758e-09,-2.7992,0.0,0.0,4.1684e-09,-2e-05,0.0
23,-2.7,-4.1606e-09,-2.6978,0.0,0.0,4.1745e-09,-2e-05,0.0
24,-2.6,-4.1726e-09,-2.599,0.0,0.0,4.1602e-09,-2e-05,0.0
25,-2.5,-4.158e-09,-2.4988,0.0,0.0,4.1647e-09,-2e-05,0.0
26,-2.4,-4.1655e-09,-2.3988,0.0,0.0,4.1587e-09,-2e-05,0.0
27,-2.3,-4.1514e-09,-2.2986,0.0,0.0,4.1616e-09,-6e-05,0.0
28,-2.2,-4.1554e-09,-2.19954,0.0,0.0,4.1508e-09,-4e-05,0.0
29,-2.1,-4.1505e-09,-2.09922,0.0,0.0,4.1553e-09,-2e-05,0.0
30,-2.0,-4.1526e-09,-1.99894,0.0,0.0,4.1466e-09,-2e-05,0.0
31,-1.9,-4.1408e-09,-1.89928,0.0,0.0,4.15e-09,-6e-05,0.0
32,-1.8,-4.1448e-09,-1.799,0.0,0.0,4.143e-09,-8e-05,0.0
33,-1.7,-4.1379e-09,-1.69948,0.0,0.0,4.1424e-09,-2e-05,0.0
34,-1.6,-4.1367e-09,-1.59924,0.0,0.0,4.1352e-09,4e-05,0.0
35,-1.5,-4.1372e-09,-1.4995,0.0,0.0,4.1336e-09,-6e-05,0.0
36,-1.4,-4.1328e-09,-1.39924,0.0,0.0,4.1303e-09,-4e-05,0.0
37,-1.3,-4.129e-09,-1.299,0.0,0.0,4.1289e-09,0.0,0.0
38,-1.2,-4.1281e-09,-1.19944,0.0,0.0,4.1257e-09,0.0,0.0
39,-1.1,-4.1309e-09,-1.09906,0.0,0.0,4.1215e-09,-8e-05,0.0
