Filename:,25FC01540_CH2_100.00mA__NAV_50.0C_00_OSA.csv
Test Time:,2025-05-04T22:12:56.036489+00:00
Temperature Set:,50.0,°C
Temperature Measured:,49.97,°C
PID:,1.1837,0.0070,5.0000
Thermistor ABC:,0.001111930000000000023146692896,0.0002371740000000000113657898197,7.386599999999999665742402813E-8
OSA Wavelength:,1578.00000000000000,nm
LD voltage:,1.08921e+00,V
LD current:,1.00002e-01,A
OSA Peak1:,+1.56964000E-006,nm
OSA Lvl1:,+4.90455403E+000,dBm
OSA Peak2:,+1.56896800E-006,nm
OSA Lvl2:,-5.31967943E+001,dBm
OSA DeltaWL:,-6.72000000E-010,nm
OSA SMSR:,+5.81013483E+001,dB
OSA Resolution:,+2.00000000E-011,m
OSA Sense Mode:,MID
OSA:,YOKOGAWA,AQ6370C,91L222316,04.06
SMU:,Keithley Instruments Inc., Model 2602B, 4369333, 3.4.2,channel:a
TEC:,Arroyo 5240 241126048 v1.53 148

wavelength[m],level[dBm]
+1.56300000E-006,-5.77095448E+001
+1.56300400E-006,-5.76117767E+001
+1.56300800E-006,-5.74287476E+001
+1.56301200E-006,-5.73378318E+001
+1.56301600E-006,-5.70069255E+001
+1.56302000E-006,-5.68535335E+001
+1.56302400E-006,-5.72548388E+001
+1.56302800E-006,-5.69903702E+001
+1.56303200E-006,-5.71527633E+001
+1.56303600E-006,-5.70529467E+001
+1.56304000E-006,-5.68030057E+001
+1.56304400E-006,-5.67491684E+001
+1.56304800E-006,-5.65037287E+001
+1.56305200E-006,-5.59762932E+001
+1.56305600E-006,-5.58976296E+001
+1.56306000E-006,-5.59499983E+001
+1.56306400E-006,-5.59937681E+001
+1.56306800E-006,-5.63854423E+001
+1.56307200E-006,-5.67279303E+001
+1.56307600E-006,-5.69804929E+001
+1.56308000E-006,-5.70187778E+001
+1.56308400E-006,-5.71762216E+001
+1.56308800E-006,-5.69661562E+001
+1.56309200E-006,-5.65487859E+001
+1.56309600E-006,-5.58902920E+001
+1.56310000E-006,-5.59788743E+001
+1.56310400E-006,-5.65206012E+001
+1.56310800E-006,-5.69509283E+001
+1.56311200E-006,-5.76674432E+001
+1.56311600E-006,-5.77261929E+001
+1.56312000E-006,-5.80916280E+001
+1.56312400E-006,-5.80572695E+001
+1.56312800E-006,-5.80371226E+001
+1.56313200E-006,-5.75209670E+001
+1.56313600E-006,-5.72006881E+001
+1.56314000E-006,-5.65865097E+001
+1.56314400E-006,-5.68071904E+001
+1.56314800E-006,-5.71036374E+001
+1.56315200E-006,-5.79753375E+001
+1.56315600E-006,-5.83182678E+001
+1.56316000E-006,-5.84731339E+001
+1.56316400E-006,-5.88363580E+001
+1.56316800E-006,-5.88493804E+001
+1.56317200E-006,-5.88114449E+001
+1.56317600E-006,-5.88246396E+001
+1.56318000E-006,-5.79958038E+001
+1.56318400E-006,-5.83092264E+001
+1.56318800E-006,-5.84282498E+001
+1.56319200E-006,-5.87606154E+001
+1.56319600E-006,-5.94244875E+001
+1.56320000E-006,-5.91947489E+001
+1.56320400E-006,-5.97541171E+001
+1.56320800E-006,-5.92115882E+001
+1.56321200E-006,-5.90684432E+001
+1.56321600E-006,-5.89246954E+001
+1.56322000E-006,-5.93272846E+001
+1.56322400E-006,-5.89155349E+001
+1.56322800E-006,-5.89162044E+001
+1.56323200E-006,-5.88629248E+001
+1.56323600E-006,-5.93450756E+001
+1.56324000E-006,-5.99262886E+001
+1.56324400E-006,-5.97070625E+001
+1.56324800E-006,-5.98744560E+001
+1.56325200E-006,-5.95836215E+001
+1.56325600E-006,-5.96884653E+001
+1.56326000E-006,-5.95621192E+001
+1.56326400E-006,-5.96758555E+001
+1.56326800E-006,-5.95182907E+001
+1.56327200E-006,-5.93713598E+001
+1.56327600E-006,-5.93566994E+001
+1.56328000E-006,-5.96681796E+001
+1.56328400E-006,-5.96707787E+001
+1.56328800E-006,-5.97611754E+001
+1.56329200E-006,-5.92882839E+001
+1.56329600E-006,-5.90643844E+001
+1.56330000E-006,-5.92206902E+001
+1.56330400E-006,-5.90160614E+001
+1.56330800E-006,-5.94232533E+001
+1.56331200E-006,-5.92676284E+001
+1.56331600E-006,-5.90531636E+001
+1.56332000E-006,-5.93452313E+001
+1.56332400E-006,-5.91666130E+001
+1.56332800E-006,-5.91920111E+001
+1.56333200E-006,-5.90121220E+001
+1.56333600E-006,-5.86388004E+001
+1.56334000E-006,-5.84972128E+001
+1.56334400E-006,-5.83894733E+001
+1.56334800E-006,-5.87067507E+001
+1.56335200E-006,-5.89164649E+001
+1.56335600E-006,-5.84639237E+001
+1.56336000E-006,-5.83265543E+001
+1.56336400E-006,-5.85794500E+001
+1.56336800E-006,-5.83322562E+001
+1.56337200E-006,-5.79905482E+001
+1.56337600E-006,-5.76496194E+001
+1.56338000E-006,-5.74814576E+001
+1.56338400E-006,-5.72879707E+001
+1.56338800E-006,-5.76568815E+001
+1.56339200E-006,-5.76143595E+001
+1.56339600E-006,-5.75707956E+001
+1.56340000E-006,-5.78536970E+001
+1.56340400E-006,-5.76610797E+001
+1.56340800E-006,-5.75331038E+001
+1.56341200E-006,-5.73510343E+001
+1.56341600E-006,-5.71448441E+001
+1.56342000E-006,-5.69940529E+001
+1.56342400E-006,-5.66779437E+001
+1.56342800E-006,-5.65843560E+001
+1.56343200E-006,-5.71166110E+001
+1.56343600E-006,-5.71166759E+001
+1.56344000E-006,-5.75053269E+001
+1.56344400E-006,-5.72791076E+001
+1.56344800E-006,-5.72677551E+001
+1.56345200E-006,-5.70273488E+001
+1.56345600E-006,-5.70089748E+001
+1.56346000E-006,-5.66375261E+001
+1.56346400E-006,-5.64957995E+001
+1.56346800E-006,-5.62222891E+001
+1.56347200E-006,-5.65079623E+001
+1.56347600E-006,-5.71008559E+001
+1.56348000E-006,-5.74508202E+001
+1.56348400E-006,-5.77892281E+001
+1.56348800E-006,-5.76556918E+001
+1.56349200E-006,-5.77484926E+001
+1.56349600E-006,-5.75600635E+001
+1.56350000E-006,-5.75962465E+001
+1.56350400E-006,-5.73499835E+001
+1.56350800E-006,-5.77701791E+001
+1.56351200E-006,-5.77297069E+001
+1.56351600E-006,-5.78828949E+001
+1.56352000E-006,-5.82968573E+001
+1.56352400E-006,-5.87541375E+001
+1.56352800E-006,-5.86598933E+001
+1.56353200E-006,-5.85841729E+001
+1.56353600E-006,-5.81582971E+001
+1.56354000E-006,-5.82596010E+001
+1.56354400E-006,-5.85411638E+001
+1.56354800E-006,-5.85500201E+001
+1.56355200E-006,-5.86188575E+001
+1.56355600E-006,-5.86101355E+001
+1.56356000E-006,-5.88982026E+001
+1.56356400E-006,-5.92271138E+001
+1.56356800E-006,-5.97589065E+001
+1.56357200E-006,-5.91261669E+001
+1.56357600E-006,-5.89966544E+001
+1.56358000E-006,-5.94208438E+001
+1.56358400E-006,-5.87730140E+001
+1.56358800E-006,-5.94757810E+001
+1.56359200E-006,-5.96658268E+001
+1.56359600E-006,-5.95175225E+001
+1.56360000E-006,-5.95204693E+001
+1.56360400E-006,-5.95547807E+001
+1.56360800E-006,-5.98759755E+001
+1.56361200E-006,-5.98373364E+001
+1.56361600E-006,-5.90797834E+001
+1.56362000E-006,-5.91433778E+001
+1.56362400E-006,-5.90407789E+001
+1.56362800E-006,-5.94356036E+001
+1.56363200E-006,-5.94819684E+001
+1.56363600E-006,-5.97287159E+001
+1.56364000E-006,-5.95853609E+001
+1.56364400E-006,-6.00141496E+001
+1.56364800E-006,-5.96234171E+001
+1.56365200E-006,-5.93213347E+001
+1.56365600E-006,-5.93496462E+001
+1.56366000E-006,-5.94065705E+001
+1.56366400E-006,-5.92983309E+001
+1.56366800E-006,-5.88658707E+001
+1.56367200E-006,-5.92649395E+001
+1.56367600E-006,-5.95927884E+001
+1.56368000E-006,-5.93285919E+001
+1.56368400E-006,-5.96311501E+001
+1.56368800E-006,-5.87841102E+001
+1.56369200E-006,-5.90580889E+001
+1.56369600E-006,-5.89405589E+001
+1.56370000E-006,-5.87409386E+001
+1.56370400E-006,-5.85787338E+001
+1.56370800E-006,-5.84878726E+001
+1.56371200E-006,-5.84008908E+001
+1.56371600E-006,-5.84348809E+001
+1.56372000E-006,-5.84098078E+001
+1.56372400E-006,-5.82449244E+001
+1.56372800E-006,-5.84132142E+001
+1.56373200E-006,-5.79454820E+001
+1.56373600E-006,-5.80910735E+001
+1.56374000E-006,-5.77787539E+001
+1.56374400E-006,-5.77134517E+001
+1.56374800E-006,-5.74660501E+001
+1.56375200E-006,-5.73915991E+001
+1.56375600E-006,-5.75499695E+001
+1.56376000E-006,-5.74472331E+001
+1.56376400E-006,-5.72631634E+001
+1.56376800E-006,-5.71371197E+001
+1.56377200E-006,-5.69144126E+001
+1.56377600E-006,-5.69266993E+001
+1.56378000E-006,-5.70603144E+001
+1.56378400E-006,-5.69120545E+001
+1.56378800E-006,-5.69463698E+001
+1.56379200E-006,-5.67215206E+001
+1.56379600E-006,-5.65548455E+001
+1.56380000E-006,-5.70439121E+001
+1.56380400E-006,-5.69491391E+001
+1.56380800E-006,-5.69488536E+001
