Filename:,25FC01544-CC1_B4_C1-CH1_500.00mA_NAV_50.0C_00_LIV.csv
Test Time:,2025-04-30T07:41:42.822134+00:00
Temperature Set:,50.0,°C
Temperature Measured:,50.03,°C
PID:,1.1837,0.0070,5.0000
Thermistor ABC:,0.001111930000000000023146692896,0.0002371740000000000113657898197,7.386599999999999665742402813E-8
OPM Wavelength:,1300.00,nm
OPM Range:,3.653111E-01,W
OPM:,Thorlabs,PM100USB,1933072,1.7.0=S145C,250120306,20-JAN-2025,1,18,289
SMU:,Keithley Instruments Inc., Model 2602B, 4369333, 3.4.2
TEC:,Arroyo 5240 241126048 v1.53 148

set_current[mA],current[A],voltage[V],power[W],power[mW],rd[Ohms],dy/dx(Ith)[a.u],SE[W/A],d2y/dx2(Ith)[a.u]
0.0,3.52859e-12,-0.30315,6.11798441e-06,0.00611798441,1043.4298321902265,0.00494105279,-0.07781361828733999,0.05603302460472408
1.0,0.00100005,0.740332,1.10590372e-05,0.0110590372,535.2373918917492,0.004692642045000001,-0.061259608906032,0.050786903380051374
2.0,0.00200134,0.768042,1.55032685e-05,0.015503268500000002,22.46827220945338,0.004165387500000001,-0.044705599524724,0.04554078215537867
3.0,0.00300145,0.7853,1.93898122e-05,0.019389812200000002,15.182843002474588,0.0037574036499999986,-0.028151590143416,0.04029466093070597
4.0,0.00400169,0.798413,2.30180758e-05,0.0230180758,11.983621883483426,0.003592482249999999,-0.011597580762107998,0.03504853970603326
5.0,0.00500168,0.80927,2.65747767e-05,0.0265747767,10.132101321013185,0.0035957737000000007,0.004956428619200003,0.029802418481360556
6.0,0.00600167,0.818677,3.02096232e-05,0.0302096232,8.90272256806418,0.0037306727000000015,0.0052452037979199995,0.0232325003149167
7.0,0.00700163,0.827075,3.40361221e-05,0.0340361221,8.021620324304875,0.004046307399999997,0.006249550599199999,0.017352613356938745
8.0,0.00800164,0.83472,3.8302238e-05,0.038302237999999995,7.365831462415831,0.004470557549999997,0.0532874696036,0.013294637678905418
9.0,0.00900154,0.841806,4.29772372e-05,0.0429772372,6.847479323552643,0.005042560550000005,0.1304336250764,0.011786335334033922
10.0,0.0100015,0.848414,4.83873591e-05,0.048387359100000006,6.425024727003853,0.0058478799500000025,0.1767317517628,0.012656563446066943
11.0,0.0110034,0.854668,5.46729971e-05,0.0546729971,6.0820727871798415,0.006987716949999997,0.1997376330436,0.019940983411721937
12.0,0.0120046,0.860597,6.2362793e-05,0.062362793,5.749987504373506,0.010795452899999999,0.21102631575039996,0.03874579535133985
13.0,0.0130041,0.866172,7.62639029e-05,0.0762639029,4.695530446955341,0.192651856,0.2160130791496,0.052719169994628785
14.0,0.0140048,0.869989,0.000447666505,0.447666505,3.60545918112283,0.40197678405000004,0.22088328146440003,0.04234965421895356
15.0,0.0150044,0.873384,0.000880217471,0.880217471,3.422026607982402,0.43189147250000004,0.23100104533119997,0.023074845328187182
16.0,0.0160042,0.876831,0.00131144945,1.31144945,3.439968009597093,0.43094335449999993,0.25072267866000003,0.011790159263811214
17.0,0.017005,0.880266,0.00174210418,1.74210418,3.424143964009011,0.42954185999999983,0.2886799376016001,0.006238133849859224
18.0,0.0180047,0.883681,0.00217053317,2.1705331699999997,3.4148170365926984,0.42616198000000016,0.3623249607584001,0.005725125191616015
19.0,0.0190054,0.887097,0.00259442814,2.59442814,3.4038192361527417,0.4258323500000001,0.4168166329247999,0.008607428219904012
20.0,0.0200051,0.89049,0.00302219787,3.02219787,3.387653086728275,0.4275222299999999,0.42234910009599985,0.012796390889312042
21.0,0.0210059,0.893874,0.0034494726,3.4494726,3.3666583354161714,0.4277939450000001,0.42386590127199997,0.018873060310150458
22.0,0.0220056,0.897225,0.00387778576,3.87778576,3.358339584896241,0.42505515500000035,0.42249936884000006,0.02390921744154236
23.0,0.0230054,0.900589,0.00429958291,4.299582910000001,3.350497425386185,0.4201560500000001,0.41947896240000004,0.01928355894733426
24.0,0.0240059,0.903927,0.00471809786,4.71809786,3.3298335083245814,0.41236029999999957,0.4217500704,0.007255423205849525
25.0,0.0250055,0.907249,0.00512430351,5.12430351,3.3146713321669314,0.41071953999999966,0.4195745455200001,0.0006711063449536572
26.0,0.0260064,0.910558,0.00553953694,5.53953694,3.3013397320536173,0.422618355,0.41583208372000025,-0.0007872023780159434
27.0,0.0270059,0.913853,0.00596954022,5.96954022,3.280023989204851,0.41605299500000026,0.41686077300000035,-0.0013756165572159794
28.0,0.0280073,0.917121,0.00637164293,6.37164293,3.254349130173974,0.40866736999999986,0.41406398807999983,-0.0002777028172799543
29.0,0.0290063,0.920363,0.00678687496,6.78687496,3.252264424761061,0.42179715500000015,0.41017757619999956,-0.0011875675953599578
30.0,0.0300056,0.92362,0.00721523724,7.21523724,3.2416895776055763,0.4086673750000003,0.41224557075999985,-0.0025527941899199627
31.0,0.0310068,0.926848,0.00760420971,7.60420971,3.221372519618149,0.4016920000000006,0.41263618256000006,-0.0009348890713600113
32.0,0.0320063,0.930065,0.00801862124,8.018621240000002,3.2120363890832992,0.4181046950000007,0.4089400158799999,-0.0008652916289601584
33.0,0.0330074,0.933274,0.0084404191,8.440419100000002,3.1918404079795772,0.40989881499999914,0.40927461044,-0.0013647096974401432
34.0,0.0340064,0.936449,0.00883841887,8.83841887,3.18015900795036,0.4029232099999991,0.41192354368000017,-0.0002394379111999232
35.0,0.0350073,0.939634,0.00924626552,9.24626552,3.1681831816818495,0.4127705500000003,0.40384228984000003,-0.00123198311679989
36.0,0.0360066,0.942786,0.00966395997,9.66395997,3.1480462300495713,0.4037441900000003,0.4031660272000002,-0.0020477264324800424
37.0,0.037006,0.945926,0.0100537539,10.0537539,3.1312171957010393,0.4012822149999993,0.40755802204,-0.0004172389116799733
38.0,0.0380071,0.94905,0.0104665244,10.466524399999999,3.1197200699824714,0.4094876000000003,0.4027986378399997,0.00010259846704008679
39.0,0.0390065,0.952167,0.0108727291,10.8727291,3.110188981101905,0.4107188500000003,0.4050930099999998,-0.0016379257052800673
40.0,0.0400073,0.955271,0.0112879621,11.2879621,3.08950000000002,0.3910246499999994,0.40415424968000024,-0.0015412414528000787
41.0,0.0410065,0.958346,0.0116547784,11.6547784,3.076884623075397,0.3984095500000002,0.39549509495999996,0.00023431436032001862
42.0,0.0420077,0.961426,0.0120847812,12.0847812,3.0699255260658656,0.4049744500000001,0.39829825703999966,-0.0005973812396799407
43.0,0.0430072,0.964488,0.0124647273,12.4647273,3.0528316990194453,0.39389684999999997,0.4016493284000003,-0.0009465502035199856
44.0,0.0440065,0.967528,0.0128725749,12.8725749,3.0388480575971375,0.41112955000000007,0.4001592412,-0.0012625433823999844
45.0,0.0450073,0.970566,0.0132869864,13.2869864,3.0241512075603403,0.39512755000000066,0.3967556219999996,-0.003043266915840023
46.0,0.0460064,0.973576,0.01366283,13.662830000000001,3.0056994300569464,0.3750221499999995,0.39721145319999973,-0.0011521495574400855
47.0,0.0470075,0.976578,0.0140370307,14.037030699999999,2.9976007197840824,0.39840999999999926,0.39836389440000025,0.0015683334841601142
48.0,0.048007,0.979573,0.01445965,14.45965,2.9819036192762,0.400871050000001,0.3956070364000005,0.0005204502044800428
49.0,0.0490079,0.982543,0.0148387728,14.838772800000001,2.966406718656267,0.39758904999999967,0.39651932999999984,-0.0014483315104002023
50.0,0.0500074,0.985507,0.0152548281,15.2548281,2.9610168643346575,0.3988207499999987,0.39122468680000005,-0.0013481753744000434
51.0,0.0510062,0.98846,0.0156364143,15.636414299999998,2.9484999999999624,0.3906129999999992,0.3866488631999999,-0.0006367825519998072
52.0,0.0520074,0.991404,0.0160360541,16.036054099999998,2.930974159044323,0.39635880000000157,0.3916445071999999,-0.001309326441599846
53.0,0.0530069,0.994324,0.0164291319,16.4291319,2.915771057235742,0.39225630000000145,0.3962790496000006,-0.0018013851376000867
54.0,0.0540079,0.997237,0.0168205667,16.8205667,2.9025646153076976,0.39020364999999835,0.3935778819999999,-0.0017929246336000342
