Vanodf,Ianodf,Vanods,Ianods,Vcathf,Icathf,Vcaths,Icaths
-5.0,-1.2906e-07,-4.9996,0.0,0.0,1.2931e-07,-2e-05,0.0
-4.9,-1.2886e-07,-4.8994,0.0,0.0,1.2882e-07,2e-05,0.0
-4.8,-1.2882e-07,-4.8,0.0,0.0,1.2933e-07,-2e-05,0.0
-4.7,-1.2856e-07,-4.6996,0.0,0.0,1.287e-07,-4e-05,0.0
-4.6,-1.286e-07,-4.5988,0.0,0.0,1.2851e-07,-2e-05,0.0
-4.5,-1.2858e-07,-4.4996,0.0,0.0,1.2886e-07,-4e-05,0.0
-4.4,-1.2873e-07,-4.3988,0.0,0.0,1.2884e-07,4e-05,0.0
-4.3,-1.2855e-07,-4.2998,0.0,0.0,1.2813e-07,-2e-05,0.0
-4.2,-1.2836e-07,-4.1992,0.0,0.0,1.2834e-07,-0.0001,0.0
-4.1,-1.2848e-07,-4.0996,0.0,0.0,1.2833e-07,-2e-05,0.0
-4.0,-1.2845e-07,-3.999,0.0,0.0,1.2828e-07,-2e-05,0.0
-3.9,-1.2811e-07,-3.8986,0.0,0.0,1.2872e-07,-4e-05,0.0
-3.8,-1.2828e-07,-3.7992,0.0,0.0,1.281e-07,-2e-05,0.0
-3.7,-1.2835e-07,-3.6988,0.0,0.0,1.2851e-07,-2e-05,0.0
-3.6,-1.2858e-07,-3.5992,0.0,0.0,1.2875e-07,-4e-05,0.0
-3.5,-1.2815e-07,-3.4992,0.0,0.0,1.2831e-07,0.0,0.0
-3.4,-1.2811e-07,-3.3994,0.0,0.0,1.2826e-07,-2e-05,0.0
-3.3,-1.2837e-07,-3.299,0.0,0.0,1.2841e-07,0.0,0.0
-3.2,-1.279e-07,-3.1988,0.0,0.0,1.2804e-07,4e-05,0.0
-3.1,-1.277e-07,-3.099,0.0,0.0,1.2775e-07,-4e-05,0.0
-3.0,-1.2806e-07,-2.9986,0.0,0.0,1.2803e-07,-2e-05,0.0
-2.9,-1.2802e-07,-2.8988,0.0,0.0,1.2828e-07,0.0,0.0
-2.8,-1.2806e-07,-2.7992,0.0,0.0,1.2804e-07,-2e-05,0.0
-2.7,-1.2846e-07,-2.6986,0.0,0.0,1.279e-07,0.0,0.0
-2.6,-1.2808e-07,-2.5992,0.0,0.0,1.2799e-07,-2e-05,0.0
-2.5,-1.2788e-07,-2.4986,0.0,0.0,1.2791e-07,-2e-05,0.0
-2.4,-1.2756e-07,-2.3992,0.0,0.0,1.2704e-07,0.0,0.0
-2.3,-1.2793e-07,-2.2986,0.0,0.0,1.2722e-07,-2e-05,0.0
-2.2,-1.2773e-07,-2.19952,0.0,0.0,1.2756e-07,2e-05,0.0
-2.1,-1.2723e-07,-2.09922,0.0,0.0,1.2744e-07,-2e-05,0.0
-2.0,-1.2787e-07,-1.99894,0.0,0.0,1.2761e-07,-2e-05,0.0
-1.9,-1.2721e-07,-1.89928,0.0,0.0,1.2704e-07,-2e-05,0.0
-1.8,-1.2749e-07,-1.79904,0.0,0.0,1.2765e-07,0.0,0.0
-1.7,-1.2721e-07,-1.6995,0.0,0.0,1.2737e-07,-4e-05,0.0
-1.6,-1.2705e-07,-1.59916,0.0,0.0,1.2701e-07,-2e-05,0.0
-1.5,-1.2679e-07,-1.49956,0.0,0.0,1.2725e-07,-2e-05,0.0
