wavelength[nm],power[dBm]
1562.000,-65.195
1562.010,-65.191
1562.020,-64.959
1562.030,-64.880
1562.040,-64.641
1562.050,-64.350
1562.060,-64.264
1562.070,-63.940
1562.080,-63.897
1562.090,-63.644
1562.100,-63.374
1562.110,-63.350
1562.120,-63.082
1562.130,-62.994
1562.140,-63.001
1562.150,-63.041
1562.160,-62.916
1562.170,-62.977
1562.180,-63.178
1562.190,-63.307
1562.200,-63.575
1562.210,-63.714
1562.220,-63.937
1562.230,-64.288
1562.240,-64.401
1562.250,-64.595
1562.260,-64.898
1562.270,-64.909
1562.280,-64.845
1562.290,-65.033
1562.300,-65.218
1562.310,-65.443
1562.320,-65.407
1562.330,-65.347
1562.340,-65.411
1562.350,-65.349
1562.360,-65.138
1562.370,-65.266
1562.380,-65.066
1562.390,-65.024
1562.400,-64.911
1562.410,-64.723
1562.420,-64.482
1562.430,-64.257
1562.440,-64.104
1562.450,-63.825
1562.460,-63.796
1562.470,-63.581
1562.480,-63.385
1562.490,-63.198
1562.500,-63.096
1562.510,-63.191
1562.520,-63.118
1562.530,-63.168
1562.540,-63.304
1562.550,-63.187
1562.560,-63.560
1562.570,-63.642
1562.580,-63.836
1562.590,-64.071
1562.600,-64.197
1562.610,-64.427
1562.620,-64.509
1562.630,-64.789
1562.640,-64.965
1562.650,-65.048
1562.660,-64.998
1562.670,-65.138
1562.680,-65.291
1562.690,-65.327
1562.700,-65.426
1562.710,-65.276
1562.720,-65.362
1562.730,-65.156
1562.740,-65.290
1562.750,-65.003
1562.760,-64.833
1562.770,-64.679
1562.780,-64.475
1562.790,-64.310
1562.800,-64.238
1562.810,-63.993
1562.820,-63.741
1562.830,-63.573
1562.840,-63.521
1562.850,-63.369
1562.860,-63.261
1562.870,-63.352
1562.880,-63.239
1562.890,-63.264
1562.900,-63.293
1562.910,-63.431
1562.920,-63.562
1562.930,-63.703
1562.940,-63.821
1562.950,-64.116
1562.960,-64.217
1562.970,-64.427
1562.980,-64.539
1562.990,-64.732
1563.000,-64.806
1563.010,-65.068
1563.020,-65.093
