voltage[V],current[A]
-2,-2.224e-06
-1.98,-2.227e-06
-1.96,-2.208e-06
-1.94,-2.167e-06
-1.92,-2.107e-06
-1.9,-2.053e-06
-1.88,-1.987e-06
-1.86,-1.911e-06
-1.84,-1.836e-06
-1.82,-1.767e-06
-1.8,-1.698e-06
-1.78,-1.627e-06
-1.76,-1.556e-06
-1.74,-1.487e-06
-1.72,-1.420e-06
-1.7,-1.355e-06
-1.68,-1.297e-06
-1.66,-1.241e-06
-1.64,-1.187e-06
-1.62,-1.135e-06
-1.6,-1.083e-06
-1.58,-1.037e-06
-1.56,-9.835e-07
-1.54,-9.427e-07
-1.52,-9.034e-07
-1.5,-8.648e-07
-1.48,-8.276e-07
-1.46,-7.938e-07
-1.44,-7.605e-07
-1.42,-7.283e-07
-1.4,-6.983e-07
-1.38,-6.696e-07
-1.36,-6.418e-07
-1.34,-6.149e-07
-1.32,-5.897e-07
-1.3,-5.646e-07
-1.28,-5.420e-07
-1.26,-5.187e-07
-1.24,-4.974e-07
-1.22,-4.770e-07
-1.2,-4.584e-07
-1.18,-4.394e-07
-1.16,-4.214e-07
-1.14,-4.046e-07
-1.12,-3.890e-07
-1.1,-3.726e-07
-1.08,-3.574e-07
-1.06,-3.428e-07
-1.04,-3.285e-07
-1.02,-3.151e-07
-1,-3.019e-07
-0.98,-2.899e-07
-0.96,-2.778e-07
-0.94,-2.666e-07
-0.92,-2.552e-07
-0.9,-2.448e-07
-0.88,-2.348e-07
-0.86,-2.252e-07
-0.84,-2.157e-07
-0.82,-2.066e-07
-0.8,-1.976e-07
-0.78,-1.891e-07
-0.76,-1.811e-07
-0.74,-1.733e-07
-0.72,-1.658e-07
-0.7,-1.587e-07
-0.68,-1.521e-07
-0.66,-1.454e-07
-0.64,-1.389e-07
-0.62,-1.327e-07
-0.6,-1.266e-07
-0.58,-1.207e-07
-0.56,-1.152e-07
-0.54,-1.090e-07
-0.52,-1.039e-07
-0.5,-9.716e-08
-0.48,-9.355e-08
-0.46,-8.906e-08
-0.44,-8.480e-08
-0.42,-8.043e-08
-0.4,-7.615e-08
-0.38,-7.201e-08
-0.36,-6.790e-08
-0.34,-6.367e-08
-0.32,-5.958e-08
-0.3,-5.569e-08
-0.28,-5.195e-08
-0.26,-4.836e-08
-0.24,-4.489e-08
-0.22,-4.136e-08
-0.2,-3.792e-08
-0.18,-3.482e-08
-0.16,-3.135e-08
-0.14,-2.782e-08
-0.12,-2.437e-08
-0.1,-2.085e-08
-0.08,-1.735e-08
-0.06,-1.374e-08
-0.04,-9.892e-09
-0.02,-5.758e-09
0,-9.785e-10
0.02,4.627e-09
0.04,1.149e-08
0.06,2.021e-08
0.08,3.146e-08
0.1,4.583e-08
0.12,6.461e-08
0.14,9.447e-08
0.16,1.302e-07
0.18,1.752e-07
0.2,2.378e-07
0.22,3.233e-07
0.24,4.400e-07
0.26,6.000e-07
0.28,8.212e-07
0.3,1.122e-06
0.32,1.547e-06
0.34,2.140e-06
0.36,2.963e-06
0.38,4.106e-06
0.4,5.702e-06
0.42,7.901e-06
0.44,1.093e-05
0.46,1.507e-05
0.48,2.067e-05
0.5,2.823e-05
0.52,3.821e-05
0.54,5.132e-05
0.56,6.848e-05
0.58,9.057e-05
0.6,1.192e-04
0.62,1.566e-04
0.64,2.065e-04
0.66,2.761e-04
0.68,3.779e-04
0.7,5.362e-04
0.72,7.971e-04
0.74,1.234e-03
0.76,1.963e-03
0.78,3.140e-03
0.8,4.918e-03
0.82,7.460e-03
0.84,1.000e-02
0.86,1.000e-02
0.88,1.000e-02
0.9,1.000e-02
0.92,1.000e-02
0.94,1.000e-02
0.96,1.000e-02
0.98,1.000e-02
1,1.000e-02
1.02,1.000e-02
1.04,1.000e-02
1.06,1.000e-02
1.08,1.000e-02
1.1,1.000e-02
1.12,1.000e-02
1.14,1.000e-02
1.16,1.000e-02
1.18,1.000e-02
1.2,1.000e-02
