current[mA],power[mW],voltage[V],mpd_current[mA]
1,0.018,0.6816,-8.023e-09
2,0.030,0.7454,-4.113e-09
3,0.030,0.7686,-2.861e-09
4,0.030,0.7838,-1.943e-09
5,0.030,0.7949,-6.676e-10
6,0.030,0.8046,-2.384e-10
7,0.042,0.8130,1.311e-10
8,0.042,0.8200,7.868e-10
9,0.042,0.8264,9.179e-10
10,0.049,0.8323,5.96e-10
11,0.055,0.8377,1.109e-09
12,0.055,0.8430,8.106e-10
13,0.073,0.8477,1.311e-09
14,0.073,0.8525,1.407e-09
15,0.079,0.8569,9.418e-10
16,0.103,0.8613,6.199e-10
17,0.127,0.8650,1.073e-09
18,0.406,0.8680,7.51e-10
19,0.788,0.8703,1.264e-09
20,1.164,0.8725,1.037e-09
21,1.522,0.8747,9.298e-10
22,1.928,0.8770,7.749e-10
23,2.328,0.8791,1.299e-09
24,2.716,0.8813,1.204e-09
25,3.086,0.8835,8.106e-10
26,3.480,0.8857,5.245e-10
27,3.880,0.8878,9.775e-10
28,4.226,0.8900,7.033e-10
29,4.602,0.8922,1.228e-09
30,4.978,0.8943,6.199e-10
31,5.390,0.8965,5.126e-10
32,5.724,0.8986,6.914e-10
33,6.075,0.9008,1.502e-09
34,6.482,0.9029,1.204e-09
35,6.827,0.9051,8.106e-10
36,7.209,0.9072,1.073e-10
37,7.549,0.9093,7.153e-10
38,7.913,0.9115,1.097e-09
39,8.264,0.9135,9.298e-10
40,8.628,0.9156,1.204e-09
41,8.992,0.9178,7.629e-10
42,9.368,0.9198,2.98e-10
43,9.725,0.9219,2.742e-10
44,10.065,0.9239,6.318e-10
45,10.435,0.9260,1.049e-09
46,10.774,0.9281,1.252e-09
47,11.120,0.9301,1.18e-09
48,11.502,0.9321,4.053e-10
49,11.823,0.9341,1.597e-09
50,12.211,0.9361,9.537e-10
51,12.515,0.9381,1.121e-09
52,12.890,0.9402,1.168e-09
53,13.279,0.9421,5.484e-10
54,13.606,0.9441,2.456e-09
55,13.927,0.9461,2.146e-10
56,14.285,0.9481,8.345e-11
57,14.612,0.9500,7.272e-10
58,14.964,0.9520,6.199e-10
59,15.310,0.9539,7.153e-10
60,15.619,0.9558,6.676e-10
61,16.019,0.9578,8.345e-10
62,16.316,0.9598,7.033e-10
63,16.722,0.9616,1.347e-09
64,16.977,0.9635,1.049e-09
65,17.311,0.9655,9.656e-10
66,17.687,0.9673,7.868e-10
67,18.062,0.9693,1.252e-09
68,18.384,0.9711,6.676e-10
69,18.760,0.9730,8.345e-10
70,19.033,0.9748,9.775e-10
71,19.348,0.9768,1.013e-09
72,19.766,0.9786,1.132e-09
73,20.063,0.9805,1.24e-09
74,20.360,0.9823,1.812e-09
75,20.658,0.9842,-4.172e-10
76,20.979,0.9860,1.454e-09
77,21.343,0.9878,1.311e-10
78,21.646,0.9896,-5.484e-10
79,22.010,0.9915,5.245e-10
80,22.337,0.9932,3.576e-11
81,22.604,0.9950,6.437e-10
82,22.943,0.9968,1.431e-10
83,23.289,0.9986,2.503e-09
84,23.562,0.9998,1.991e-09
85,23.889,1.0016,2.623e-10
86,24.180,1.0034,2.027e-10
87,24.508,1.0051,3.207e-09
88,24.817,1.0069,-8.345e-11
89,25.114,1.0087,1.585e-09
90,25.460,1.0104,1.609e-09
91,25.823,1.0121,5.126e-10
92,26.054,1.0138,2.038e-09
93,26.454,1.0155,-6.795e-10
94,26.678,1.0172,-3.576e-11
95,26.975,1.0190,1.001e-09
96,27.279,1.0207,8.583e-10
97,27.564,1.0223,2.754e-09
98,27.879,1.0241,2.861e-09
99,28.188,1.0258,1.407e-09
100,28.564,1.0275,8.821e-10
101,28.801,1.0292,-2.384e-11
102,29.092,1.0309,7.153e-10
103,29.419,1.0326,-1.383e-09
104,29.662,1.0342,9.894e-10
105,29.959,1.0359,7.749e-10
106,30.231,1.0376,2.289e-09
107,30.480,1.0393,6.914e-10
108,30.735,1.0409,-3.457e-10
109,30.977,1.0427,1.669e-10
110,31.256,1.0443,-1.192e-10
111,31.468,1.0460,1.121e-09
112,31.711,1.0478,1.49e-09
113,31.905,1.0495,1.86e-09
114,32.081,1.0513,1.121e-09
115,32.226,1.0529,3.576e-11
116,32.360,1.0547,9.179e-10
117,31.935,1.0570,9.537e-11
118,32.226,1.0585,8.821e-10
119,32.529,1.0600,1.824e-09
120,32.808,1.0615,9.656e-10
121,33.136,1.0629,-8.345e-11
122,33.403,1.0644,-2.623e-10
123,33.742,1.0659,1.121e-09
124,34.003,1.0674,1.526e-09
125,34.336,1.0688,2.253e-09
126,34.597,1.0703,2.205e-09
127,34.924,1.0717,1.204e-09
128,35.240,1.0731,-1.192e-11
129,35.494,1.0746,1.359e-09
130,35.840,1.0761,-6.437e-10
131,36.107,1.0775,1.24e-09
132,36.355,1.0789,1.669e-10
133,36.646,1.0804,1.323e-09
134,36.974,1.0818,-7.391e-10
135,37.247,1.0832,1.776e-09
136,37.526,1.0846,8.583e-10
137,37.786,1.0861,8.345e-10
138,38.059,1.0875,2.456e-09
139,38.356,1.0888,1.466e-09
140,38.599,1.0902,1.049e-09
141,38.890,1.0916,1.121e-09
142,39.217,1.0930,-2.623e-10
143,39.478,1.0944,8.345e-10
144,39.714,1.0958,8.821e-10
145,39.999,1.0971,2.861e-10
146,40.290,1.0985,3.457e-10
147,40.521,1.0999,9.775e-10
148,40.836,1.1012,1.144e-09
149,41.085,1.1026,1.431e-09
150,41.358,1.1040,4.172e-10
151,41.649,1.1053,5.722e-10
152,41.885,1.1066,6.557e-10
153,42.170,1.1080,6.318e-10
154,42.449,1.1093,-7.153e-11
155,42.710,1.1107,1.55e-09
156,42.922,1.1119,1.347e-09
157,43.249,1.1133,1.49e-09
158,43.492,1.1146,1.013e-09
159,43.819,1.1160,1.562e-09
160,44.038,1.1173,1.204e-09
161,44.256,1.1186,9.656e-10
162,44.541,1.1198,2.503e-10
163,44.814,1.1211,4.292e-10
164,45.044,1.1225,9.418e-10
165,45.311,1.1237,-9.537e-11
166,45.596,1.1250,9.537e-11
167,45.820,1.1263,1.24e-09
168,46.051,1.1276,1.025e-09
169,46.257,1.1288,5.96e-10
170,46.560,1.1301,1.073e-09
171,46.790,1.1314,1.109e-09
